name,ticker,announced,effective,type
American States Water Co,AWR,1/24/2018,2/1/2018,ADD
Bank of the Ozarks,OZRK,1/24/2018,2/1/2018,ADD
Califronia Water Services Groups,CWT,1/24/2018,2/1/2018,ADD
CH Robinson WorldWide,CHRW,1/24/2018,2/1/2018,ADD
Smucker J.M. Co,SJM,1/24/2018,2/1/2018,ADD
Fastenal Co,FAST,1/24/2019,2/1/2019,ADD
Brady Corp,BRC,1/24/2019,2/1/2019,ADD
Mercury General Crop,MCY,1/24/2019,2/1/2019,DELETE
ABM Industries Inc,ABM,1/24/2017,2/1/2017,ADD
Church & Dwight Co,CHD,1/24/2017,2/1/2017,ADD
Community Bank System,CBU,1/24/2017,2/1/2017,ADD
Meredith Corp,MDP,1/24/2017,2/1/2017,ADD
MSA Safety Inc,MSA,1/24/2017,2/1/2017,ADD
TJX Cos Inc,TJX,1/24/2017,2/1/2017,ADD
HCP Inc,HCP,1/24/2017,2/1/2017,DELETE
Quality Care Properties Inc,QCP,1/24/2017,2/1/2017,DELETE
Northwest Natural Holding Co,NWN,1/24/2020,2/3/2020,ADD
Stepan Co,SCL,1/24/2020,2/3/2020,ADD
Franklin Electric Co,FELE,1/24/2020,2/3/2020,ADD
Graco Inc,GGG,1/24/2020,2/3/2020,ADD
Prosperity Bancshares Inc,PB,1/24/2020,2/3/2020,ADD
Casey's General Stores Inc,CASY,1/24/2020,2/3/2020,ADD
FactSet Research System Inc,FDS,1/24/2020,2/3/2020,ADD
Helmerich & Payne Inc,HP,1/24/2020,2/3/2020,ADD
Eversource Energy,ES,1/24/2020,2/3/2020,ADD
South Jersey Industries Inc,SJI,1/24/2020,2/3/2020,ADD
Tanger Factory Outlet Centers,SKT,1/24/2020,2/3/2020,DELETE
Meredith Corp,SKT,1/24/2020,2/3/2020,DELETE
CDK Global Inc,CDK,1/24/2020,2/3/2020,DELETE
Donaldson Co,DCI,1/22/2016,1/29/2016,ADD
Intl Business Machines Corp,IBM,1/22/2016,1/29/2016,ADD
Lancaster Colony Corp,LANC,1/22/2016,1/29/2016,ADD
Lincoln Electric Holdings,LECO,1/22/2016,1/29/2016,ADD
New Jersey Resources Corp,NJR,1/22/2016,1/29/2016,ADD
NextEra Energy Inc,NEE,1/22/2016,1/29/2016,ADD
RenaissanceRe Hldgs,RNR,1/22/2016,1/29/2016,ADD
RLI Corp,RLI,1/22/2016,1/29/2016,ADD
Polaris Inds Inc,PII,1/22/2016,1/29/2016,ADD
